success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,PROLIFIC_PID,ID,view_history,rt,stimulus,response,typeoftrial,sentence,novel1,novel2,correct,cue,target,prime,type,relatedness,correct_key,block_number,age,gender,education,question_order,race,hispanic,dominant_hand,alert_time,english
,,,,,survey-text,27,99816,0.0-2.0-2.0-1.0,1,2,2024-11-14 15:50:30,c57ef2a061322e91a272365c82d9e91a,185.156.245.18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",WebKit,Edge,130.0.0.0,Windows,10.0,https://l19rbff638.cognition.run/?PROLIFIC_PID=5aa297fe1ade740001b94bb7,"en-GB,en;q=0.9,en-US;q=0.8",5aa297fe1ade740001b94bb7,799955869,,3413,,cash,association,,,,,fash,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,28,100317,0.0-2.0-2.0-0.1,1,2,2024-11-14 15:50:30,c57ef2a061322e91a272365c82d9e91a,185.156.245.18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",WebKit,Edge,130.0.0.0,Windows,10.0,https://l19rbff638.cognition.run/?PROLIFIC_PID=5aa297fe1ade740001b94bb7,"en-GB,en;q=0.9,en-US;q=0.8",5aa297fe1ade740001b94bb7,799955869,,null,<span style = 'font-size:200%'>+</span>,null,fixation,,,,,,,,,,,,,,,,,,,,
,,,,,survey-text,29,102526,0.0-2.0-2.0-1.1,1,2,2024-11-14 15:50:30,c57ef2a061322e91a272365c82d9e91a,185.156.245.18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",WebKit,Edge,130.0.0.0,Windows,10.0,https://l19rbff638.cognition.run/?PROLIFIC_PID=5aa297fe1ade740001b94bb7,"en-GB,en;q=0.9,en-US;q=0.8",5aa297fe1ade740001b94bb7,799955869,,2208,,rock,association,,,,,zock,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,30,103027,0.0-2.0-2.0-0.2,1,2,2024-11-14 15:50:30,c57ef2a061322e91a272365c82d9e91a,185.156.245.18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",WebKit,Edge,130.0.0.0,Windows,10.0,https://l19rbff638.cognition.run/?PROLIFIC_PID=5aa297fe1ade740001b94bb7,"en-GB,en;q=0.9,en-US;q=0.8",5aa297fe1ade740001b94bb7,799955869,,null,<span style = 'font-size:200%'>+</span>,null,fixation,,,,,,,,,,,,,,,,,,,,
,,,,,survey-text,31,105543,0.0-2.0-2.0-1.2,1,2,2024-11-14 15:50:30,c57ef2a061322e91a272365c82d9e91a,185.156.245.18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",WebKit,Edge,130.0.0.0,Windows,10.0,https://l19rbff638.cognition.run/?PROLIFIC_PID=5aa297fe1ade740001b94bb7,"en-GB,en;q=0.9,en-US;q=0.8",5aa297fe1ade740001b94bb7,799955869,,2514,,rock,association,,,,,zock,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,32,106044,0.0-2.0-2.0-0.3,1,2,2024-11-14 15:50:30,c57ef2a061322e91a272365c82d9e91a,185.156.245.18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",WebKit,Edge,130.0.0.0,Windows,10.0,https://l19rbff638.cognition.run/?PROLIFIC_PID=5aa297fe1ade740001b94bb7,"en-GB,en;q=0.9,en-US;q=0.8",5aa297fe1ade740001b94bb7,799955869,,null,<span style = 'font-size:200%'>+</span>,null,fixation,,,,,,,,,,,,,,,,,,,,
,,,,,survey-text,33,108430,0.0-2.0-2.0-1.3,1,2,2024-11-14 15:50:30,c57ef2a061322e91a272365c82d9e91a,185.156.245.18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",WebKit,Edge,130.0.0.0,Windows,10.0,https://l19rbff638.cognition.run/?PROLIFIC_PID=5aa297fe1ade740001b94bb7,"en-GB,en;q=0.9,en-US;q=0.8",5aa297fe1ade740001b94bb7,799955869,,2386,,cash,association,,,,,fash,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,34,108932,0.0-2.0-2.0-0.4,1,2,2024-11-14 15:50:30,c57ef2a061322e91a272365c82d9e91a,185.156.245.18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",WebKit,Edge,130.0.0.0,Windows,10.0,https://l19rbff638.cognition.run/?PROLIFIC_PID=5aa297fe1ade740001b94bb7,"en-GB,en;q=0.9,en-US;q=0.8",5aa297fe1ade740001b94bb7,799955869,,null,<span style = 'font-size:200%'>+</span>,null,fixation,,,,,,,,,,,,,,,,,,,,
,,,,,survey-text,35,115196,0.0-2.0-2.0-1.4,1,2,2024-11-14 15:50:30,c57ef2a061322e91a272365c82d9e91a,185.156.245.18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",WebKit,Edge,130.0.0.0,Windows,10.0,https://l19rbff638.cognition.run/?PROLIFIC_PID=5aa297fe1ade740001b94bb7,"en-GB,en;q=0.9,en-US;q=0.8",5aa297fe1ade740001b94bb7,799955869,,6263,,Zimziland,association,,,,,zock,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,36,115699,0.0-2.0-2.0-0.5,1,2,2024-11-14 15:50:30,c57ef2a061322e91a272365c82d9e91a,185.156.245.18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",WebKit,Edge,130.0.0.0,Windows,10.0,https://l19rbff638.cognition.run/?PROLIFIC_PID=5aa297fe1ade740001b94bb7,"en-GB,en;q=0.9,en-US;q=0.8",5aa297fe1ade740001b94bb7,799955869,,null,<span style = 'font-size:200%'>+</span>,null,fixation,,,,,,,,,,,,,,,,,,,,
